epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8853,1.26049,5.87303,0.53349,0.71478,0.05953,17.4956,0.75178,0.42637,0.59201,0.14207,0.00258,0.00971,0.0013,0.0002,3.16969,8.27006,0.35523,2.38072,0.20064,0,0.00025,0.00025,0.07525
2,110.479,1.18324,2.13189,0.48618,0.30864,0.05638,10.3699,0.51572,0.39806,0.38574,0.03955,0.7673,0.59223,0.68966,0.22748,3.63852,4.52078,0.27881,3.00918,0.26273,0,0.000504905,0.000504905,0.0495049
3,161.21,0.92216,1.8018,0.44853,0.25314,0.0419,9.29935,0.93047,0.97439,0.96711,0.24186,0.9351,0.97925,0.97841,0.37742,2.91854,2.72785,0.4586,1.2137,0.18089,0,0.000754615,0.000754615,0.0237546
4,211.134,1.17043,1.48221,0.40488,0.29625,0.05513,8.86673,0.98565,0.99995,0.99411,0.43586,0.95107,0.96117,0.95965,0.44492,2.23838,2.06133,0.39426,0.63776,0.12313,0,0.00097003,0.00097003,0.00097003
5,260.017,1.03377,1.26935,0.3941,0.28458,0.04739,8.14842,0.96873,0.99029,0.99427,0.66442,0.95923,0.98058,0.98881,0.66367,1.3583,1.27469,0.40996,0.3554,0.06709,0,0.00096004,0.00096004,0.00096004
6,308.256,1.08608,1.18844,0.3799,0.30253,0.05128,7.82537,0.99164,0.98544,0.99476,0.77688,0.98187,0.97573,0.99296,0.77451,0.95785,0.91297,0.31685,0.26572,0.04426,0,0.00095005,0.00095005,0.00095005
7,356.435,0.8949,1.3078,0.37017,0.2752,0.0402,8.16524,0.96656,1,0.99462,0.749,0.96656,1,0.99462,0.71963,1.05572,1.05992,0.1807,0.30287,0.04865,0,0.00094006,0.00094006,0.00094006
8,406.08,0.87637,1.11688,0.37104,0.26485,0.04028,7.70685,0.96041,0.98544,0.99237,0.7427,0.96041,0.98544,0.99237,0.79045,1.07094,0.83647,0.35674,0.30572,0.05095,0,0.00093007,0.00093007,0.00093007
9,455.789,0.98803,1.00996,0.34058,0.28837,0.04738,7.34703,0.99326,0.98544,0.99476,0.78628,0.99326,0.98544,0.99476,0.77031,0.94655,0.88846,0.35261,0.25484,0.04413,0,0.00092008,0.00092008,0.00092008
10,504.909,0.94291,0.96507,0.32366,0.27264,0.04468,7.00999,0.99516,0.99875,0.99495,0.79006,0.99516,0.99875,0.99495,0.77709,0.98591,0.89214,0.31133,0.24707,0.04537,0,0.00091009,0.00091009,0.00091009
